trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'e': 0.7704799999999999, 'a': 0.38}",25,0,-235.70495283542144,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
152,False,"{'e': 0.7674399999999999, 'a': 0.38}",20,2,-44.21852105639304,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
153,False,"{'e': 0.76438, 'a': 0.38}",25,6,-35.57262396116535,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 0}",1
154,False,"{'e': 0.7613, 'a': 0.38}",25,0,-98.34481486184457,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",1
155,False,"{'e': 0.7582, 'a': 0.38}",20,0,-132.55575239104618,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
156,False,"{'e': 0.75508, 'a': 0.38}",25,9,-27.76441702600946,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
157,False,"{'e': 0.7519399999999999, 'a': 0.38}",30,0,-83.77060607468245,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
158,False,"{'e': 0.7487799999999999, 'a': 0.38}",20,15,8.917732188038817,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'e': 0.7455999999999999, 'a': 0.38}",20,0,-72.41595342726366,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
160,False,"{'e': 0.7424, 'a': 0.38}",20,0,4.453079792377486,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
161,False,"{'e': 0.73918, 'a': 0.38}",30,0,-49.973578589858825,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
162,False,"{'e': 0.7359399999999999, 'a': 0.38}",30,12,-50.78222636651505,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
163,False,"{'e': 0.7326799999999999, 'a': 0.38}",20,8,-25.385447189452957,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
164,False,"{'e': 0.7293999999999999, 'a': 0.38}",20,0,-32.24905410121474,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
165,False,"{'e': 0.7261, 'a': 0.38}",25,0,-99.20890687754697,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
166,False,"{'e': 0.72278, 'a': 0.38}",25,3,-86.78444948668572,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 1}",1
167,False,"{'e': 0.71944, 'a': 0.38}",20,0,-16.728476778081614,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
168,False,"{'e': 0.7160799999999999, 'a': 0.38}",20,9,-16.075499016446322,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
169,False,"{'e': 0.7126999999999999, 'a': 0.38}",20,0,-151.89112849128418,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
170,False,"{'e': 0.7092999999999999, 'a': 0.38}",20,0,-44.937651213604404,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
